riddle,choice0,choice1,choice2,choice3,choice4,label
"I wear striped sweaters and have a real green thumb. My favorite things are flowers and the taste of ripe plums. My home is shared with family and we all work together. We live beneath our queens decree, always striving to be better . When I kill myself it hurts you too, and leaves a stinging pain. Everything I say is true: now tell me, what's my name?",spider,squirrel,beaver,praying mantis,bee,4
"I say everything I hear to others around. I'm not an animal, nor part of the human race. I will, immediately, repeat after you, but only if my tail is in place. What am I?",webcam,microphone,speaker,headset,recorder,1
When you buy something and you need it but you dont when you need until you do need it and you dont know,skull,hearse,coffin,grave,corpse,2
"Often talked of, never seen, Ever coming, never been, Daily looked for, never here, Still approaching, coming near. Thousands for its visit wait, But alas for their fate, Though they expect me to appear, They will never find me here.",saturday,tomorrow,today,Monday,tonight,1
"Soft and fragile is my skin, I get my growth in mud I'm dangerous as much as pretty, for if not careful, I draw blood.",crucible,hand cannon,quill,Tony,thorn,4
What can go up and come down without moving?,relative humidity,temperature,voltage,troposphere,rainfall,1
I'm not alive but I have five fingers. Who am I?,envy,glove,gorgeous,catcher,jock strap,1
I am both black and white. I go with the flow and my loyalty never wavers.,alligator,shark,dolphin,squirrel,killer whale,4
"You may find fire within me.Though to water I've been compared. You may also find a twinkle.When through my pane you stare. When of wind I am the calm.The center holding still. When of you, a different part.My bottom lid, my sill. You may look into me.only to see through. You may indeed look out of me.Through my frame of varied hue. The riddle in three parts.as letters in my name. The riddle shows you who I am.But tell me just the same. Who am I?",second,before,cornea,ring,eye,4
"Fluffy like a pillow.Sweet like the sweetest cherry pie, A combination of sugar, air, and gelatin.I am, So what exactly could I be?",cinnamon,peanut,marshmallow,pumpkin,strawberry,2
"If you happen to wear one of these warm garments around, you might get doused in red paint.",fur coat,sweater,eyelids,hair,leather jacket,0
"I am brave but, wear the thing I used to fear most, I am bold, but not willing to kill. Who am I?",riddler,Superman,Batman,Joker,Bruce Wayne,2
"You can have me but cannot hold me; Gain me and quickly lose me. If treated with care I can be great, And if betrayed I will break. What am I?",doubt,will,tell,trust,krump,3
Everyone claims to know a way to stop these involuntary contractions but none of them work.,wildlings,hiccup,spoon,drogon,coffee,1
I am related to what makes rain. If you run into me I cause no pain. I could be there in the morning or there at night. I make the sun not so bright.  What am I?,codependency,fog,sky,narc,sunset,1
"Cold and dark, I'm the same as my neighbor. Flatter than a pancake, faster than a panther. Lighter than a feather I still prevail, Yet a million mean trying to lift me would fail. Expanding and shrinking throughout the day, When heat is highest, underneath I lay. I leave in the darkness of the night, And don't come back if there's rain in sight. What am I?",sky,silhouette,shadow,glow,storm,2
"Never ahead, ever behind, yet flying swiftly past; For a child I last forever, for adults I'm gone too fast.",momma,sibling,mother,adolescence,childhood,4
"Blow for blow, They matched each other. Neither would fall to the other. In the eyes of the crowd, They were this.",equal,Hhh,better,knockout,proportional,0
I am hot. I am hidden. I am cold. I am hard. I am sharp. I am soft. I am still. I am moving. I am above. I am below. I am two and one. Always changing. Always the same. What am I?,grape,water,cucumber,ocean,sediment,1
My first takes a billowing course.My second uncovers the source.My whole saves from a deadly force. What am I?,waterfall,fire alarm,valley,smoke detector,thermostat,3
"I have eyes but I see nothing. I have ears, but I hear nothing. I .have a mouth, but cannot speak. I always will look just as I look .now. If I am young, I will stay young. If I am old, I will remain old. What Am I?",painting,drawing,Maine,sculpture,Hawaii,0
I am a creature with a “tight” name. What am I?,cork,trap,glue,duct tape,seal,4
"What is a lovely shade of violet, lives on a crowded table, and contains one of Jupiter's moons and a very loud noise?",vitamin,calcium,minerals,potassium,iodine,4
"""Sherlock Holmes and Doctor Watson were going on a hike through the woods. After a long day of hiking, they stopped for the night. They ate a cold meal, pitched a tent, and went to sleep. Both of them woke up in the middle of the night. ""The stars are out tonight,"" remarked Doctor Watson. ""What does this tell you?"" Sherlock asked. ""Well,"" he replied, ""By the positions of the stars, it's roughly midnight."" ""What else does this tell you?"" Sherlock asked again. ""I don't know!"" Doctor Watson retorted, annoyed. ""What does it tell you?"" What did the detective notice?""",clever,easy,junior,school,elementary,4
"There is someone, and there is always another, for without the other, there wouldn't be one.",twins,triplets,Hhh,knockout,pitching,0
I am round. I have only one line. Circle is not my name indeed. What am I?,golf,rectangle,tarmac,oval,cone,3
"Full of dark, filled with everything Both on my skin they color With my pack, I am always Afraid of the cat. What am I?",corset,zebra,underwear,alligator,tiger,1
A device for finding furniture in the dark.,zhao,shin,hair,aizen,eyelids,1
"I display things neatly in rows, Things common, exotic and some rarely known. Many of these things there can be, A few, a dozen or a hundred and three. By combining my wares one can make cakes, One can make forests, or one can make lakes. I can be found color coded, Black and white, or diligently noted. I organize ingredients from light to heavy.The selection of which there is a bevy. Although my order occurs naturally, It also makes sense to organize factually.",Thursday,calendar,periodic table,isotopes,protons,2
"A useful thing, hard, firm, and white, outside in shaggy robe bedight; Hallowed within right cleverly, it goes to work both white and dry. When after labor it comes back, you'll find it moist and very black; for service it is ready ever, and fails the hand that guides it never.",eraser,notebook,stylus,pen,paintbrush,3
"I am odd number, remove one letter and I become even, what number am I?",eight,six,seven,four,five,2
"I’m a very valuable thing to have. Use me right now, you should. Yet if you cut off my hindquarters, I’d be but a piece of wood. What am I?",arithmetic,imagination,common sense,logic,reasoning,3
I am something that floats. But after a period of time I fall.,gravity,balloon,poison,blimp,parachute,1
What relation would your father's sister's sister-in-law be to you?,aunt,mother,husband,mom,sister,1
I live in the jungle and I love to eat bananas. I__ very similar to a human but I have a curly tail. What am I?,Hawaii,monkey,gorilla,lizard,Maine,1
Fighting technique taken from rams.,headbutt,kangaroo,haymaker,fist,head-butt,4
"What is the only English word, with two synonyms that are antonyms of each other?",duct tape,debuff,dental floss,aoe,cleave,4
Hold these between your knees if you want to set a Cuban beat.,saxophone,banjo,bongos,flute,drums,2
"I have a long tail that I let fly. Every time I go through a gap, I leave a bit of my tail in the trap. What am I?",price,tweezers,fingernail,syringe,needle,4
Its sometimes sharp. And good at being lead. Using this will help. Things to be read. What is it?,eraser,paintbrush,pencil,sharpie,crayon,2
I am made of sugar and soda but you shouldnt eat me. I hiss and slither but I cannot eat you. What am I?,snake,spider,lizard,bird,rat,0
"You buy me, but I don't have a price. What am I?",rumor,idk,concept,idea,clue,3
"I search for birds, but not for bees, I make people yell when in the trees, Sometimes I swim or hit the beach, My home is often just out of reach. What am I?",chicken,rein,bong,golf ball,avocado,3
"Its a fun thing to do and you devote a significant amount of energy to thinking about it, but you hate knowing that your parents are doing it. What is it?",Instagram,Twitter,Ig,Facebook,Fb,3
A crafty use of long pieces of wool to make a scarf.,sew,sewing machine,crochet,yarn,knit,4
I'm going in on a mission.To improve a head condition. With a squeeze I have been equipped.For a daily task ought not skipped. Using the most proper technique.I'll traverse every trough and peak. I strive to keep them all intact.Let nothing from my goal distract. What am I?,dental floss,shampoo,toothpaste,toothbrush,deodorant,3
"Take away my first, I still sound the same. Take away my last, I stil sound the same. What am I?",apology,justification,excuse,baptism,scapegoat,2
Like a tornado.I spin 'round and 'round.And if you are not careful.I could devastate your town. From the wet.Maybe to the dry.Just be careful.Not to look me straight in the eye,shoulder,sandal,tornado,hurricane,earthquake,3
I am a path situated between high natural masses. Remove my first letter and you have a path situated between man-made masses.  What am I?,valley,mountain,desert,lake,village,0
Soldiers fight it but never changes.,invasion,Antarctica,war,Carbon dioxide,hostilities,2
"If money really did grow on trees, what would be everyone’s favorite season?",fall,rise,slip,mountain,volcano,0
Its title means book.,daughter,bible,gospel,sister,old testament,1
"What makes life bland if lost, and yet is very annoying to have?",issues,troublesome,headache,faults,problems,4
"I am more than 5, but less than 25, I am small, but I am not a number. What am I?",dozen,nickle,nickel,dime,penny,3
"I can only live where there is light, but I die if the light shines on me.What am I?",shadow,sky,glow,silhouette,storm,0
This often has two wheels. But it's not a bike you ride. Plug it in and push it round. And it cleans your floors inside,vacuum,gravity,canister,negative pressure,vaccum,0
"I'm not your mother, father, brother, sister, aunt, uncle, grandmother, grandfather, son, Daughter, girl cousin, or boy cousin.     What gender am I?",gay,transgender,paraplegic,binary,lesbian,1
"Lisa is the mother of Isa. Isa is the daughter of Lisa. Therefore, Lisa is the ________ of Isa's mother.",will,doubt,name,u/,alias,2
Why was six afraid of seven?,four,five,six,seven,eight,3
"The front of me is the source of a song Or to kiss with a fervor of love lifelong. My back is a plant fit for a queen, Crafted by needle, chemical, or machine.",jewelry,necklace,earrings,scarf,bracelet,1
"I am the ultimate killing machine, used not once but TWICE, I can be made by humans. What am I?",war,Antarctica,Carbon dioxide,invasion,hostilities,0
"Nary a tick,  nary a tock- silent, silent, the handless clock. Tarry no longer; cast off all doubt. The sands of time are running out.",bronzer,eyeshadow,hourglass,eyeliner,stopwatch,2
"I don't have a predecessor.You've seen nothing like me before. If not for creativity.There wouldn't be a place for me. Thankfully, the world we live in.Will never stop discoverin'. Otherwise, I would not exist.And monotony would persist. What am I?",originality,cartoon,creativity,uniqueness,clone,0
My temperature drops about 6.5 degrees Celsius per km. What am I?,upper atmosphere,water vapor,equator,clouds,troposphere,4
Autumn leaves and bad bowlers wreak havoc on this.,gutter,drain,streets,mud,sidewalk,0
"What can be swallowed, but can swallow you?",anger,jealousy,festival,pride,joy,3
"I am green all over, yet I know no bounds. If you turn me around a face you will see, being without me produces envy. What am I?",comma,nickels,dollar bill,dimes,hyphen,2
"I have no mind or a soul. I've been eternally attached since man's dawn. My kind disappear on and off, to everyone I accompany them to their death, and buried with them, then I hide away when the casket shuts. What am I?",storm,shadow,glow,silhouette,sky,1
"""If somethiing is ""adorbz"", what is it?""",brilliant,endearing,cute,adorable,gorgeous,3
"My first is high, My second damp, My whole a tie, A writer's cramp. What am I?",exclamation point,comma,semicolon,hyphen,apostrophe,3
I am something that gets blown up. But I'm not dynamite. When I am filled with helium. I float because I'm light,gliders,dynamite,balloons,gravity,parachute,2
"I'm really blue, but when you see me I'm red. You don't see me too often. I'm there for you if you're hurt, but I'm good for you. What am I?",saliva,kidney,semen,urine,blood,4
I am common. I am a saltwater and freshwater FISH. I have no bones in my body. I feast upon my own species as well as others. I come in many shapes and sizes. What am I?,crocodile,shark,frog,whale,alligator,1
What is the most populous Spanish-speaking country in the world?,Chile,Spain,Africa,Brazil,Mexico,4
It nukes food at the touch of a button.,refrigerator,oven,microwave,freezer,fridge,2
I have a ginger beard. And green clothing I am told. I am always on the lookout. For coins for my pot of gold. Who am I?,leprechaun,goblin,genie,unicorn,giraffe,0
A man walks out of a house that has four walls all facing north. A bird walks past him. What is it?,giraffe,duck,dolphin,penguin,shark,3
What goes up must come down. What goes around comes around. From down under I am true. I will always come around to you. What am I?,bow,boomerang,projectiles,meteor,icicle,1
How far can a man hike into the forest?,second,through,right,halfway,before,3
A man is wearing all black. A black car is approaching towards the man. How did the driver managed to stop in time?,noon,weekday,midnight,mid-day,daytime,4
"What has got eyes but never sees, What has a tongue but never talks, What has a soul that can't be saved?",sock,sandal,shoe,pants,laces,2
"What has feet and legs, and nothing else?",tissue box,pillow,shopping,hoarding,stocking,4
"I am a blade.though duller than the rest.they always cut through me .when put to the test. I am actually quite sturdy, I live on savannas and on the sea floor.the blades do not hurt.but I sometimes die from the shadows of buildings and trees.",valley,waterfall,asphalt,grass,lawn,3
"I am set in white but colored myself. I have no words, but I reveal much. What am I?",cornea,ring,before,second,eye,4
"People inside me can't get out, I hold all sizes thin and stout, You don't wanna be inside me but it's nothing you can stop, cause it's inevitable whether you like it or not. What am I?",corpse,skull,coffin,hearse,grave,2
"""Samuel said, ""I wish yesterday was tomorrow so that today would be Friday."" What day did Samuel say this on?""",Monday,Thursday,Friday,Sunday,Saturday,3
This dish is usually consumed at breakfast time with milk.,yogurt,Cheerios,oatmeal,cereal,milk,3
"If you happen to wake up at dawn, you'll probably find this covering the lawn.",rainstorm,dew,mist,rain,mud,1
A black dog is sleeping in the middle of a black road that has no streetlights and there is no moon. A car coming down the road with its lights off steers around the dog. How did the driver know the dog was there?,noon,mid-day,daytime,midnight,weekday,2
"With one blink, I can command others to move. With another blink, Others will start to wonder, Some will move and some will stop. With the last blink, I can command others to stop. What am I?",freeway,weird,pedestrians,traffic light,contradictory,3
"What object has keys that open no locks, space but no room, and you can enter but not go in?",Maine,mouse,computer keyboard,Hawaii,spacebar,2
"What has an eye but cannot see, takes time to generate, and can dissipate in seconds?",meteor,fireball,hurricane,tornado,earthquake,3
You are in a haunted house. But this is an advanced haunted house. The haunted house has electricity. There are three doors. One door leads to a tiger that hasn't eaten for 3 months. Another door leads to an electric chair that has electricity this time. And the last door has a man waiting to chop your head off. Which door do you go through?,who?,no,fuck,yeah,duh,4
"I am too big to comprehend.A certain thing that will never end.I never cease to make a sound.My total number cannot be found.I live on the earth, depend on the sun.I am a race that can never be won. What am I?",sanctuary,trash talk,human race,pillow,shoulder,2
i am red and spotted but i am not ill what am i,peacock,eighth grade,squirrel,ladybird,kiki's delivery service,3
"Eight in a row, with nowhere to go, except for the two .who can jump straight through.  Eight out in front, not one a runt. Across the range, to make a change. By foot or by horse, they stay the course. Til the victory is won, And the battle is done. What does this represent?",slugfest,chess match,knockout,Hhh,mind game,1
"What is everthing yet nothing, has no start and no end, creates yets destroys, brings life and death what is it?",darkness,void,everything,none,bottomless pit,1
These help engines spin and trousers stay up.,belt,strap,envy,vest,gorgeous,0
"Iron roof, glass walls, burns and burns and never falls.",sword,lamp,flashlight,pyre,lantern,4
"I am flat, but I am also curved. I am mainly used for hunting, but can be used for fun; but not at the same time. If used correctly, I can go and I can come. I can travel long distances, but I never get tired. What am I?",bow,icicle,boomerang,meteor,projectiles,2
"I kill people when you need me to, I am not accepted and illegal, I need to be refilled from time to time and i can harm my owner. What am I?",gun,firearm,armor,pistol,sword,0
I am a kitchen appliance. But I am not used to make toast. In November at Thanksgiving. Your large turkey is what I roast,wok,microwave,freezer,grill,oven,4
"My home is in the water. You can drive me if I don__ make you sick. Be gentle, don__ put a hole in me, and when you__e done, please tie me up. What am I?",yacht,boat,shore,canoe,island,1
"I'm a kind of cup that doesn't hold water, but makes a lot of noise repeatedly. What am I?",coffee,wildlings,spoon,drogon,hiccup,4
"I have four legs, a head and leaves. People love me because wherever I am, food may be. What am I?",countertop,calendar,dining table,Thursday,sofa,2
"My teeth are sharp, my back is straight, to cut things up it is my fate. What am I?",came,saw,clouds,said,sky,1
"Enter through one, exit through two, then enter through two, exit through one. What is being enter/exited?",pants,shirt,jeans,underwear,socks,0
"If May's daughter's daughter is my granddaughter's mother's mother's brother's sister, then what am I to May? (May only has one sibling)",will,George Washington,might,pilgrims,may,4
"It's a symbol and a fruit, For man's folly, evil's root. But also for great inspiration, and famous application.",microsoft,iPod,apple,android,tesla,2
Johnny's mother had three children. The first was named April and the second was named May. What was the name of the third child?,Johny,Steve,Johnny,Dave,Joe,2
I am easy to feel but hard to see.Can you guess what I might be? I'll give you hints to ease your mind.And help you solve this little rhyme. Let's begin with clue number one.I cause so much damage before I'm done.Wrecking homes and destroying power.I can be gentle and then turn sour. I can wreck ships with my force.Or cause them to change their  course.Others use me for their pleasure.When I am behaving much better. I bring children lots of fun.When they take their string and run.There objects hang for all to see.Defying the law of gravity. Still I have a different use.One that I can not refuse.I keep the power at a flow.With the way my blades always go. I have given you lots of clues.And now my time is past due.Before I leave and say good-bye.Please tell me what am I?,hyphen,water,wind,comma,rain,2
"What is older than Obama, sits still as stone, but in some people's eyes is more appreciated than the president's home ?",Mt. Rushmore,Lincoln Memorial,White House,Harpers Ferry,elevator,1
"Whats weightless, visible to the naked eye, and when you put it in a barrel of water it will make the barrel lighter in weight.?",hole,mouth,dick,dentist,surgeon,0
"""What is ""FB""?""",Instagram,Facebook,Fb,Ig,Twitter,1
"I am often known as a symbol/mark, and can be used in a trend. I am created when two paths meet, but separate at the end. What am I?",Atlantic,cross,border,wander,highway,1
You cut off my Head and cry   What am i? ｡◕‿‿◕｡,celery,onion,sausage,garlic,tomato,1
"You answer me, although I never ask you questions. What am I?",speaker,device,recorder,tablet,phone,4
I was walking through a field of rye.When I spotted something with my eye.It was neither fish nor flesh nor bone.but I kept it till it walked alone,muffin,avocado,omelette,egg,chicken,3
Killer Humpback Blue Beluga,dolphin,shark,turtles,hippos,whales,4
These people cannot be choosers.,avocado,homeless people,beggars,drug addicts,chicken,2
"The one who made it didn't want it,the one who bought it didn't need it,the one who used it didn't see it.  What is I?",corpse,hearse,coffin,skull,grave,2
"People sit at small tables, All are silent but one. Tasks are given but nobody does them yet. Few are having fun. And when a tone is emitted, All leave but the one.  What is going on?",university,teacher,college,school,campus,3
What does this symbol mean: <3,love,hate,envy,gorgeous,adore,0
"Fritos, Doritos and Lays are some popular brands of this cripsy potato snack.",processors,Hhh,chips,knockout,nachos,2
"I stand tall for 8 days and 8 nights, my greatest task is to give darkness light. What am I?",wreath,candles,dreidel,Hanukkah,menorah,4
What ship has no captain but two mates?,courtship,ihop,marriage,monogamy,cafeteria,0
"What never gets any wetter, no matter how much it rains?",island,beach,river,lake,sea,4
"Look at my apple, keep me near.",iphone,ios,apple,iPod,iPad,3
I have a few points but we're not competing.And I'll help you win when you're eating.What am I?,chopsticks,spoon,spork,skewers,fork,4
"I have been called a savage, a chief and oft times a leader. Some have called me the embodiment of courage, although to a Crook I did surrender. Where I was born, there were no enclosures. In the end, to bring me down, it took 5000 soldiers. As the ""terror of the country"", I had a reputation of cruelty and cunning. My tactics consisted of hitting and then running. Many movies and stories of me were made. The memories of me, the most famous of my people, will never fade. People have spoken ill of me so many times it would give your throat a lump. Yet sometimes, my name is the last word said when people make a big jump. Now it's time to give it a try. Do you know my name; who am I?",name,will,alias,u/,doubt,0
"I belong to everyone. Sometimes make you happy, sometimes make you sad. I will never end until the day you do. What am I?",clouds,fears,thoughts,sky,emotions,2
"To rich and poor we useful are; And yet for our reward, By both at last we're thrown away, Without the least regard.",shoes,socks,sandals,comma,hyphen,0
"A nightmare for some. For others, a savior I come. My hand's cold and bleak. It's the warm hearts they seek. What am I?",assassination,decapitation,suicide,death,suffocation,3
"I am small, but when I gather with all my relatives I become big. I can come from soil, road, humans, animals, insects, volcanic eruptions, and pollution. I am found in cars, homes, offices, stores, and storage places. I gather with my relatives to collect on beds, televisions, computers, carpets, furniture, plants, curtains, and hidden places. Sad to say so far my relatives and I are of no worth. We are also seldom wanted.",gunk,comma,dust,hyphen,pollen,2
"Inside we're wet and outside we're dry.But the weather we do not defy. Losing our heads, we don't go berserk.But this is when we do our best work. Some of us activate with a click.Although human power makes us tick. We're instruments not found in a band.We're useless unless given a hand. What are we?",paintbrush,pens,leafs,eraser,blues,1
I am a glowing emblem of egress. My light stays on.To guide those.To where they need to go. I shall not lead you wrong.As you say goodbye.,stairwell,exit sign,Atlantic,highway,staircase,1
Defining the boundary.Between this and that place. It's pretty clear that I'm.An open-and-shut case. Sometimes a metaphor.For opportunity. I could be vital to.Your exit strategy. To a single axis.My movement is confined. Your privacy is that.For which I've been designed. What am I?,window,hallway,door,stairwell,garage,2
"Tall as a tree, dressed in white, my bridal veil is shiny bright Up all night, never sleeping: if i rest, many are weeping. Upon the shores since the days of old, my silent message what am i?",lighthouse,shipwreck,observatory,pier,waterfall,0
What can you touch but not see?,mouth,ears,garbage truck,driveway,nipples,1
What is in the middle of five?,three,five,four,six,eight,2
Which days of the week have the most nutrition?,Monday,Thursday,Saturday,Friday,Sunday,4
"My uses are changing, but I still remain the same. My interior is quiet, and stories are my game. What am I?",bookstore,underwear,library,corset,documents,2
"Two separate royal families are always in battle, Centuries long has been their feud. There is a king, but the queen has power, and small as they are, their armies are strong. They cannot fight without their general, he chooses every attack there is to be. And I'm quite sure you have heard of their eternal battle; What is it? Could you please tell me?",chess game,pawn,favorite,tic tac toe,halfway,0
"What speaks with its ear, listens with its mouth, and has 10 digits but no hands?",recorder,device,tablet,speaker,phone,4
There are four brothers in this world that were all born together. The first runs and never wearies. The second eats and is never full. The third drinks and is always thirsty. The fourth sings a song that is never good. What are the four brothers?,sediment,ocean,cucumber,grape,water,4
"""Two yearold children who throw tantrums get this nickname. So did the tsar ""Ivan.""",crap,nailbiter,terrible,match,good,2
"""If you have ""guts"" what are you?""",smart,pillow,brave,tissue box,proud,2
"I fit in here very well.I am part of the brain.When I'm cold you can tell.My message goes through nerves like pain.To the muscles ""You must shake"".Warming me is not a game.Your very life could be at stake.See if you can guess my name.",liver,hypothalamus,neurotransmitters,cortisol,Fsh,1
"The things I bite, they don't bleed, I don't bite until you push me; I bring my victims together each time I bite, But they'll come undone if you pull it just right. What am I?",pencil,tissue box,scissors,stapler,screwdriver,3
What can you hold in your left hand but can never hold in your right hand?,palm,waterfall,elbow,right hand,valley,3
Whilst I was engaged in sitting I spied the dead carrying the living.,fleet,ship,asteroid,hull,moon,1
Warns of deflating tires and serpents.,hiss,bark,pet,peacock,squirrel,0
I work quite well in clear skies.You might be late otherwise.After nightfall.No use at all.Better pieces would they later devise. What am I?,compass,sunrise,sundial,moon phase,grandfather clock,2
When there is a fly near our food it is normally a pest. But when we see this fly near food it is often a welcome guest. What am I?,ihop,spider,cafeteria,bee,butterfly,4
"I last for a day, I always am in the middle, I have a name. What am I?",Wednesday,Friday,Tuesday,Thursday,Tomorrow,0
Sometimes a finger goes inside me. You fiddle with me when youre bored. The best man always has me first. What am I?,wedding ring,doubt,will,casket,precious,0
Both a currency and an antlered male. What is it?,comma,hyphen,maverick,ash,buck,4
"""What is a ""Twihard"" a fan of?""",sunset,twilight,dental floss,rarity,duct tape,1
"You find me in cars, you find me in hats, You can usually find me in a cat. You see me in eggs, you see me in trees, You couldn't talk without me. You hear me in chimes, you see me in pigs, Without me a bald man can't wear a wig. You find me in dogs, you hear me in song, Sorry this poem took so long. You find me in mugs, and out and about, Without me you couldn't shout!  What am I?",syllables,vowels,alphabet,pronunciations,consonants,1
"You can talk to me, I will not answer you. Someone else will, that's just what I do. Make plans, or something simple you see. I will not be hurt when you decide to hang me.",telephone,doubt,will,cellphone,landline,0
Those with eyes bigger than their stomach will definitely leave the restaurant with one of them. It is named after a house pet as well.,toe,sandwhich,takeout,doggy bag,ankles,3
"My first is a fluid, my second a solid, my whole a plant. What is it?",liquorice,caramel,dark chocolate,glacier,lava,0
Rub me and a genie might appear. What am I?,lamp,ceiling fan,flashlight,bulb,lantern,0
I have a title and many pages I am a genteel of genteel descent I am a killer veteran of war I am a slave to my lord Pledged to his service.,prince,castle,knight,sword,warrior,2
"I scream, You scream, We all scream. For what?",glacier,waffles,peanut butter,lava,Ice cream,4
"Which is lighter, the sun or the earth?",Thursday,night sky,moon,sun,Friday,3
Which is the table which no legs ?,fundamentals,schedule,timetable,calendar,Thursday,2
What is big and yellow that comes in the morning to make moms day?,valley,drug addict,waterfall,horn,school bus,4
"John's mother has four children. There names are March, April, May.  What's the last child's name?",Johny,James,Paul,Joe,John,4
I have a foot but no legs. What am I?,lizard,turtle,bee,snail,frog,3
I always have one eye open. What am I?,syringe,fingernail,tweezers,needle,price,3
My first three is another name for the Hindu god Shiva.My last four create something to wear.Together I might use a scythe.What am I?,plant,harvest,gather,farm,pumpkins,1
"""What does the ""M"" in ""NM, U?"" stand for?""",troublesome,even,much,dozens,so,2
"There are 12 men standing in a room, the room has no windows or doors. Man 'A' has a wife and a daughter, while the other men have 1 son each and  1 wife each. The room is sealed and the wives and children are in an adjacent room, with only bars on the floor to talk between. Half of the men always lie to only their wives, and half of those men lie to everyone, including the children. There are 4 doors in each room, and in the women's and children's room, there are two door only children can fit through. Each of the doors has a shape above it, a triangle, square, star, or circle. Half of the men know which doors lead out on both sides, and half of the women know which doors lead to death. According to these circumstances, what consecutive questions can 6 of the women ask, assuming that the man with the daughter only tells the truth?",glacier,lava,deez nuts,vermin supreme,bloodhound gang,2
"Gas me up and away I go. Just how far, who can know? If gas runs low and I don't break hard, You might find me in your back yard!",liquid oxygen,dungeon,ballon,party balloon,club,3
Can be achieved in a car or as a position during conflict.,evil,good,neutral,grey,negative,2
Where can you not drive to?,bed,envy,gorgeous,couch,pillow,0
"I bake, I rest, I come in different shapes, sizes, types, and I sometimes live with a flame on top of my head. I am eaten, I am sliced, I am licked, poked, squashed, and I sometimes have a man and woman on my head. Who/What am I?",waffles,cake,cookie,bacon,frosting,1
"White fat and fluffy, May even look like a puppy. Seems heavy but is light, Floats about without a worry, But if it turns dark you have to hurry!",terra,wol,sunset,sky,cloud,4
"Whether the weather is hot or cold, I will take you wherever you need to go. The direction you take, will determine the place. There may be the most difficult roads, but they often lead to the most beautiful destinations. What am I?",relationship,trek,journey,destination,endeavor,2
They belong to me; they belong to you; They can make you feel happy or make you feel blue; They never end until the day you do.,fears,sky,thoughts,emotions,clouds,2
What 3-letter word does not have a vowel?,laugh,doubt,smile,will,cry,4
"I am a homograph for something used to measure, the weakest in chess but strongest in checkers. Upon my head is a hat of great value. What am I?",throne,king,electricity,wealth,prince,1
"I am everywhere. Some say I came from a box full of frights and horrors. You can make me. Sometimes I am just naturally there, But some people don't have me at all. People use me when there are times of hardships and crisis. What am I?",glad,pray,will,doubt,hope,4
what comes but never arrives,tonight,Monday,tomorrow,today,saturday,2
"This old one runs forever, but never moves at all. He has not lungs nor throat, but still a mighty roaring call. What is it?",lake,creek,waterfall,mountain,volcano,2
Disgusting creatures that would survive a nuclear strike.,pillow,squirrel,spider,shoulder,roach,4
I am very strong and tough but can be broken in some ways. What am I?,second,stomach,blood,heart,before,3
What runs but never walks?,cucumber,water,grape,sediment,ocean,1
"It shouts along the street, hasn't any lungs, It tugs at leaves and hurls them at people old and young. What is it?",hyphen,comma,water,rain,wind,4
"I have two legs and a beak, yellow and competitive am I, I entertain the kids, every time I try.",Pato,Alonso,Roberto,Manchester United,Marcelo,0
What do angels sing in the shower?,blood,conscience,soul,life force,immortality,2
"What is more rare and more valuable than gold, but easier to lose?",adore,gorgeous,hate,envy,love,4
Dorothy had a severe disagreement with a woman of this magical persuasion.,hypnotism,wizard,alchemy,princess,witch,4
Royalty whose bugers are broiled and whose bed is large.,prince,electricity,throne,wealth,king,4
You row in one while you float.,island,canoe,yacht,boat,shore,3
What is neither inside the house nor outside the house but a necessity for any home?,windows,ceiling,dual boot,door,vm,0
"I take months to build, seconds to destroy, and years to rebuild. What am I?",will,tell,trust,doubt,krump,2
"I'm done with a hand, one at a time; A motion to make words, but not to make lines; I'm known as correct, and as a way, in a way; And even if you don't take me away, none of me would be left. What am I?",jot,winter,write,rainstorm,create,2
It is a common and favored clothing material among biker gangs and superheroes.,wood,denim,silk,cloth,leather,4
"I fly without wings, I cry without eyes. What am I?",sunset,sky,clouds,sun,meteors,2
What do you serve that you can't eat?,avocado,frisbee,tennis ball,chicken,trampoline,2
I am the best thing that can happen after a stick hits a ball. What am I?,home run,hat trick,shootout,hyphen,comma,0
"You very rarely think of me.  No gratitude, nor praise. You often do bad things to me, as I serve you, all your days. I worked for you both day and night, before you even knew, And I continue to this day, but it seems that you haven't a clue. You do not seem to care one whit that I work like a horse. You just assume that I'll be true, and keep my steady course. But, if I make just one mistake, then suddenly you care. You rush to take good care of me.  At last you know I'm there. I do not ask a lot of you.  Eat some oatmeal!  Walk the dog! Get off that chair for just a while.  Jump rope or take a jog! You'll find me not ungrateful.  You'll find I can be true. And both of us will last so long, that your heirs will get quite blue. So give me away, but hold me close and I'll serve and try to be brave. Just speak my name and pat your chest, and I may give you what you crave.",before,blood,second,stomach,heart,4
"I can carry, but I cannot walk. My beginning is also my end. I may break but I also may bend. What am I?",train tracks,highway,Atlantic,bridge,tunnel,3
"What demands an answer, but asks no question?",will,cellphone,telephone,landline,doubt,2
I help engines spin and pants stay up. What am I?,strap,belt,envy,gorgeous,vest,1
"I am big and sharp, And to others like harp. I slice and dice, But don't take advice. What am I?",dagger,sword,axe,spear,weapon,1
What can you hear but not touch or see and yet control?,voice,narrator,lava,glacier,accent,0
